#Aplicación presupuestaria,Funcional,Economico,Desc. Funcional,Desc. Economico,Proyecto,Desc. Proyecto,Suma Cons. inicial,Suma Modificaciones,Suma Cons. definitiva,Suma O
2009,4513,632,OOAA Conservatori Música,Inv. rep. edificis i cons,,,0,10824.01,10824.01,10824.01
2009,4514,130,Escola de Teatre,Personal Laboral fixe,,,15724.34,-7956.47,7767.87,7643.25
2009,4514,226,Escola de Teatre,Despeses diverses,,,6000,7956.47,13956.47,13953.81
2009,4514,623,Escola de Teatre,"Maquinaria, Inst. i Utill",918,EQUIPAMENT TEATRE PLAÇA.,1,7579.31,7580.31,7579.31
2009,4515,120,Animador Cultural,Retribucions basiques,,,39023.88,-1989.71,37034.17,37707.52
2009,4515,121,Animador Cultural,Retribuc. complementaries,,,41404.61,0,41404.61,40731.26
2009,4516,226,Ponència de Cultura,Despeses diverses,,,30000,2282.15,32282.15,31855.32
2009,4516,481,Ponència de Cultura,"Premis, beques estudis",,,3000,0,3000,2770.56
2009,4516,489,Ponència de Cultura,Altres transferencies,,,30000,19000,49000,47713.36
2009,4517,120,Casa de la Cultura,Retribucions basiques,,,17521.56,0,17521.56,17209.88
2009,4517,121,Casa de la Cultura,Retribuc. complementaries,,,20519.1,0,20519.1,20082.01
2009,4517,131,Casa de la Cultura,Personal Laboral eventual,,,8700,-8004.6,695.4,1444.17
2009,4517,216,Casa de la Cultura,Equip. per proces. inform,,,0,20566.8,20566.8,17394.2
2009,4517,226,Casa de la Cultura,Despeses diverses,,,35000,-594.82,34405.18,31065.65
2009,4518,120,Ponencia de Joventut,Retribucions basiques,,,27131.44,-6050.66,21080.78,27132.28
2009,4518,121,Ponencia de Joventut,Retribuc. complementaries,,,30354.63,1068.76,31423.39,31409.44
2009,4518,131,Ponencia de Joventut,Personal Laboral eventual,,,57484.57,6721.76,64206.33,58168.78
2009,4518,226,Ponencia de Joventut,Despeses diverses,,,35000,3363,38363,35183.77
2009,4518,227,Ponencia de Joventut,Treballs altres empreses,,,0,0,0,0
2009,4518,466,Ponencia de Joventut,A Ent. que agrupen munic.,,,4000,-3363,637,637
2009,4518,622,Ponencia de Joventut,Edificis i altres constr.,,,0,371999.99,371999.99,281282.51
2009,4518,626,Ponencia de Joventut,Equips per porc. informac,,,0,4402.71,4402.71,4402.71
