#Aplicación presupuestaria,Programa,Económico,Desc. programa,Desc. económico,Proyecto,Desc. proyecto,Consig. inicial,Modificaciones,Consig. definit.,Obl. recon. (O)
2013.0.0.2410.0.131,2410,131,Escoles Taller,Personal Laboral eventual,,,,115893.99,115893.99,115893.99
2013.0.0.2410.1311.131,2410,131,Escoles Taller,Personal Laboral eventual,1311,4ª fase E.T.,,131110.35,131110.35,106132.7
2013.0.0.2410.0.160,2410,160,Escoles Taller,Quotes socials,,,,32638.57,32638.57,32638.57
2013.0.0.2410.1311.160,2410,160,Escoles Taller,Quotes socials,1311,4ª fase E.T.,,,,32460.84
2013.0.0.2410.0.226,2410,226,Escoles Taller,Despeses diverses,,,2000.0,28560.0,30560.0,26416.52
2013.0.0.2410.1311.226,2410,226,Escoles Taller,Despeses diverses,1311,4ª fase E.T.,,28896.0,28896.0,28636.92
2013.0.0.2411.0.120,2411,120,Promoció de l'ocupació,Retribucions bàsiques,,,,5762.3,5762.3,50.73
2013.0.0.2411.0.121,2411,121,Promoció de l'ocupació,Retribucions complementar,,,,656.6,656.6,27.94
2013.0.0.2411.0.131,2411,131,Promoció de l'ocupació,Personal Laboral eventual,,,2878.67,22604.68,25483.35,1215.48
2013.0.0.2411.0.160,2411,160,Promoció de l'ocupació,Quotes socials,,,949.96,9643.67,10593.63,437.13
2013.0.0.2411.0.226,2411,226,Promoció de l'ocupació,Despeses diverses,,,3000.0,,3000.0,1452.0
2013.1.0.2411.0.227,2411,227,Promoció de l'ocupació,Treb.real.altres empreses,,,,40460.0,40460.0,40459.99
2013.0.0.2411.1307.622,2411,622,Promoció de l'ocupació,In. nova Edificis i const,1307,centre form.Ecala.PPOS13,,22000.0,22000.0,22000.0
2013.1.0.2411.0623.632,2411,632,Promoció de l'ocupació,Inv. repos.Edificis i con,0623,Escola Taller-centre form,,1395.65,1395.65,925.65
2013.0.0.2412.0.131,2412,131,Bossa d'ocupació,Personal Laboral eventual,,,6265.53,,6265.53,
2013.0.0.2412.0.160,2412,160,Bossa d'ocupació,Quotes socials,,,2067.62,,2067.62,
2013.0.0.2412.0.470,2412,470,Bossa d'ocupació,Subvenciones para fomento del empleo,,,,22500.0,22500.0,4500.0
2013.0.0.3130.0.221,3130,221,Medicaments i prod sanita,Subministres,,,500.0,,500.0,
2013.0.0.3131.0.227,3131,227,Salut Pública,Treb.real.altres empreses,,,29200.0,10842.0,40042.0,39936.7
2013.0.0.3132.0.227,3132,227,Desinfeccio i Desratitza.,Treb.real.altres empreses,,,10000.0,,10000.0,6062.1
2013.0.0.3133.0.130,3133,130,Ciutats sanes,Personal laboral fix,,,14914.88,,14914.88,13696.16
2013.0.0.3133.0.160,3133,160,Ciutats sanes,Quotes socials,,,4623.61,,4623.61,4320.44
2013.0.0.3133.0.226,3133,226,Ciutats sanes,Despeses diverses,,,800.0,,800.0,
2013.0.0.3134.0.120,3134,120,Servei Mèdic,Retribucions bàsiques,,,35563.26,,35563.26,36068.69
2013.0.0.3134.0.121,3134,121,Servei Mèdic,Retribucions complementar,,,48033.02,,48033.02,48033.02
2013.0.0.3134.0.160,3134,160,Servei Mèdic,Quotes socials,,,25914.85,1478.78,27393.63,20214.48
2013.0.0.3200.0.226,3200,226,Ponència d'educació,Despeses diverses,,,5000.0,,5000.0,533.74
2013.0.0.3210.0.227,3210,227,Ensenyament Preescolar,Treb.real.altres empreses,,,15000.0,,15000.0,
2013.0.0.3210.0.482,3210,482,Ensenyament Preescolar,Guarderia xiquets 0-3 any,,,8000.0,,8000.0,
2013.0.0.3211.0.120,3211,120,Ensenyament Primari,Retribucions bàsiques,,,38488.73,,38488.73,44998.09
2013.0.0.3211.0.121,3211,121,Ensenyament Primari,Retribucions complementar,,,40243.39,,40243.39,47167.58
2013.0.0.3211.0.160,3211,160,Ensenyament Primari,Quotes socials,,,24406.96,19238.86,43645.82,30212.27
2013.0.0.3211.0.203,3211,203,Ensenyament Primari,Arrendament maquinaria,,,43724.02,,43724.02,
2013.0.0.3211.0.212,3211,212,Ensenyament Primari,Rep.mment.i cons.edificis,,,5889.68,,5889.68,8461.95
2013.0.0.3211.0.221,3211,221,Ensenyament Primari,Subministres,,,85930.0,,85930.0,92596.97
2013.0.0.3230.0.130,3230,130,Escola Permanent d'Adults,Personal laboral fix,,,46070.68,,46070.68,42916.7
2013.0.0.3230.0.131,3230,131,Escola Permanent d'Adults,Personal Laboral eventual,,,,11281.22,11281.22,12139.48
2013.0.0.3230.0.160,3230,160,Escola Permanent d'Adults,Quotes socials,,,14281.91,3774.49,18056.4,17649.45
2013.0.0.3230.0.203,3230,203,Escola Permanent d'Adults,Arrendament maquinaria,,,3000.0,,3000.0,
2013.0.0.3230.0.226,3230,226,Escola Permanent d'Adults,Despeses diverses,,,2500.0,-809.0,1691.0,2127.49
2013.0.0.3230.0.227,3230,227,Escola Permanent d'Adults,Treb.real.altres empreses,,,25000.0,-15000.0,10000.0,
2013.0.0.3240.0.131,3240,131,Beques estudis,Personal Laboral eventual,,,,34205.41,34205.41,31983.33
2013.0.0.3240.0.160,3240,160,Beques estudis,Quotes socials,,,,,,2222.08
